property,count
free=0;genre=Art & Design;price_bucket_range=[0-5];,57
free=0;genre=Art & Design;price_bucket_range=[5-10];,7
free=1;genre=Entertainment;price_bucket_range=[0-5];,3
free=1;genre=Personalization;price_bucket_range=[0-5];,8
free=1;genre=Photography;price_bucket_range=[0-5];,3
free=1;genre=Events;price_bucket_range=[0-5];,2
free=1;genre=Auto & Vehicles;price_bucket_range=[0-5];,992
free=0;genre=Auto & Vehicles;price_bucket_range=[10-15];,4
free=0;genre=Auto & Vehicles;price_bucket_range=[5-10];,16
free=0;genre=Auto & Vehicles;price_bucket_range=[0-5];,24
free=0;genre=Auto & Vehicles;price_bucket_range=[15-20];,4
free=1;genre=Beauty;price_bucket_range=[0-5];,789
free=0;genre=Beauty;price_bucket_range=[0-5];,9
free=1;genre=Art & Design;rating_bucket_range=[10000-20000];,5
free=1;genre=Art & Design;rating_bucket_range=[0-10000];,2042
free=0;genre=Art & Design;rating_bucket_range=[0-10000];,69
free=1;genre=Art & Design;rating_bucket_range=[20000-30000];,2
free=1;genre=Entertainment;rating_bucket_range=[0-10000];,3
free=1;genre=Personalization;rating_bucket_range=[0-10000];,8
free=1;genre=Photography;rating_bucket_range=[0-10000];,3
free=1;genre=Events;rating_bucket_range=[0-10000];,2
free=1;genre=Auto & Vehicles;rating_bucket_range=[0-10000];,988
free=0;genre=Auto & Vehicles;rating_bucket_range=[0-10000];,48
free=1;genre=Auto & Vehicles;rating_bucket_range=[10000-20000];,2
free=1;genre=Beauty;rating_bucket_range=[0-10000];,789
free=0;genre=Beauty;rating_bucket_range=[0-10000];,10
free=1;genre=Art & Design;score_bucket_range=[4-5];,124
free=1;genre=Art & Design;score_bucket_range=[3-4];,37
free=0;genre=Art & Design;score_bucket_range=[4-5];,2
free=0;genre=Art & Design;score_bucket_range=[0-1];,65
free=1;genre=Art & Design;score_bucket_range=[0-1];,1869
free=1;genre=Art & Design;score_bucket_range=[2-3];,13
free=1;genre=Art & Design;score_bucket_range=[1-2];,9
free=0;genre=Art & Design;score_bucket_range=[3-4];,2
free=1;genre=Entertainment;score_bucket_range=[0-1];,2
